Timestamp(ms),Current(uA),D0-D7
846760,62702.293,00000000
846770,62208.863,00000000
846780,63117.617,00000000
846790,63038.141,00000000
846800,63511.648,00000000
846810,63079.223,00000000
846820,62866.043,00000000
846830,62686.184,00000000
846840,62028.973,00000000
846850,63046.316,00000000
846860,62916.027,00000000
846870,62620.820,00000000
846880,62339.059,00000000
846890,62237.102,00000000
846900,62508.578,00000000
846910,61952.504,00000000
846920,62813.250,00000000
846930,62745.316,00000000
846940,63053.012,00000000
846950,62035.289,00000000
846960,62840.285,00000000
846970,62490.969,00000000
846980,62781.156,00000000
846990,63730.141,00000000
847000,63635.879,00000000
847010,63020.594,00000000
847020,63158.559,00000000
847030,62809.520,00000000
847040,62212.789,00000000
847050,62347.609,00000000
847060,61800.301,00000000
847070,62308.387,00000000
847080,62455.359,00000000
847090,62368.738,00000000
847100,62976.215,00000000
847110,62807.938,00000000
847120,62584.375,00000000
847130,62492.633,00000000
847140,63144.801,00000000
847150,62770.730,00000000
847160,62661.773,00000000
847170,62389.109,00000000
847180,62584.043,00000000
847190,62411.465,00000000
847200,62596.617,00000000
847210,62813.371,00000000
847220,62485.586,00000000
847230,63021.848,00000000
847240,62436.813,00000000
847250,62482.832,00000000
847260,62599.863,00000000
847270,62980.688,00000000
847280,63091.598,00000000
847290,62414.836,00000000
847300,61970.008,00000000
847310,62146.973,00000000
847320,62619.379,00000000
847330,62287.480,00000000
847340,63091.512,00000000
847350,62884.816,00000000
847360,62945.645,00000000
847370,62394.578,00000000
847380,62263.680,00000000
847390,62557.387,00000000
847400,62415.000,00000000
847410,63545.887,00000000
847420,63284.391,00000000
847430,62968.449,00000000
847440,62680.102,00000000
847450,62656.227,00000000
847460,63352.797,00000000
847470,63504.172,00000000
847480,63019.977,00000000
847490,63516.938,00000000
847500,63340.070,00000000
847510,63379.359,00000000
847520,62876.523,00000000
847530,62101.094,00000000
847540,63073.645,00000000
847550,63182.355,00000000
847560,63323.480,00000000
847570,63884.266,00000000
847580,62065.832,00000000
847590,62514.578,00000000
847600,61772.051,00000000
847610,62940.621,00000000
847620,63252.383,00000000
847630,63084.066,00000000
847640,62690.852,00000000
847650,62827.031,00000000
847660,62020.730,00000000
847670,62726.609,00000000
847680,61998.258,00000000
847690,62258.691,00000000
847700,62768.844,00000000
847710,63320.359,00000000
847720,62552.020,00000000
847730,63352.770,00000000
847740,62041.402,00000000
847750,62768.266,00000000
847760,62778.336,00000000
847770,62804.547,00000000
847780,62704.082,00000000
847790,62289.684,00000000
847800,62860.879,00000000
847810,62963.207,00000000
847820,63296.992,00000000
847830,62524.625,00000000
847840,63199.359,00000000
847850,63227.762,00000000
847860,62502.082,00000000
847870,62568.492,00000000
847880,61888.375,00000000
847890,62830.234,00000000
847900,63299.781,00000000
847910,62871.699,00000000
847920,63295.484,00000000
847930,63303.801,00000000
847940,62466.703,00000000
847950,62519.816,00000000
847960,62309.770,00000000
847970,63236.754,00000000
847980,63145.457,00000000
847990,63326.277,00000000
848000,62990.824,00000000
848010,62341.012,00000000
848020,62819.359,00000000
848030,62783.813,00000000
848040,63100.367,00000000
848050,62318.969,00000000
848060,62742.500,00000000
848070,63648.637,00000000
848080,62498.672,00000000
848090,44121.684,00000000
848100,23346.586,00000000
848110,15575.802,00000000
848120,12694.549,00000000
848130,11542.476,00000000
848140,10731.424,00000000
848150,10979.620,00000000
848160,10826.632,00000000
848170,10854.173,00000000
848180,11016.250,00000000
848190,11077.123,00000000
848200,11336.025,00000000
848210,10875.049,00000000
848220,11043.658,00000000
848230,11055.632,00000000
848240,10617.109,00000000
848250,10768.130,00000000
848260,10918.196,00000000
848270,10917.936,00000000
848280,10762.366,00000000
848290,10524.788,00000000
848300,10696.741,00000000
848310,10799.619,00000000
848320,10722.497,00000000
848330,11021.812,00000000
848340,10926.522,00000000
848350,11043.771,00000000
848360,10776.051,00000000
848370,10886.292,00000000
848380,10695.500,00000000
848390,11216.555,00000000
848400,11342.916,00000000
848410,11260.967,00000000
848420,11312.652,00000000
848430,10753.223,00000000
848440,10982.076,00000000
848450,10955.003,00000000
848460,11303.257,00000000
848470,11451.062,00000000
848480,11199.094,00000000
848490,11064.224,00000000
848500,11011.035,00000000
848510,10691.054,00000000
848520,11022.882,00000000
848530,11744.940,00000000
848540,11375.390,00000000
848550,11198.550,00000000
848560,10678.700,00000000
848570,10469.388,00000000
848580,10753.337,00000000
848590,11483.521,00000000
848600,10945.045,00000000
848610,10731.453,00000000
848620,11130.121,00000000
848630,11050.461,00000000
848640,10946.584,00000000
848650,10566.552,00000000
848660,10627.947,00000000
848670,10583.589,00000000
848680,10720.377,00000000
848690,10796.422,00000000
848700,10572.600,00000000
848710,10629.390,00000000
848720,10990.479,00000000
848730,11346.556,00000000
848740,11261.530,00000000
848750,11310.655,00000000
848760,10839.198,00000000
848770,11203.811,00000000
848780,11362.160,00000000
848790,11330.301,00000000
848800,10951.400,00000000
848810,11112.137,00000000
848820,11613.735,00000000
848830,10837.526,00000000
848840,10685.125,00000000
848850,10971.485,00000000
848860,10615.342,00000000
848870,11188.221,00000000
848880,11680.512,00000000
848890,11160.903,00000000
848900,11430.540,00000000
848910,11074.268,00000000
848920,11354.846,00000000
848930,11165.547,00000000
848940,10901.051,00000000
848950,10866.494,00000000
848960,11520.612,00000000
848970,10865.153,00000000
848980,11125.030,00000000
848990,11527.790,00000000
849000,11156.921,00000000
849010,10765.386,00000000
849020,11020.182,00000000
849030,11357.548,00000000
849040,10920.664,00000000
849050,10895.533,00000000
849060,10875.526,00000000
849070,10646.550,00000000
849080,11323.459,00000000
849090,11170.425,00000000
849100,10763.504,00000000
849110,10713.412,00000000
849120,10585.938,00000000
849130,11175.149,00000000
849140,10842.392,00000000
849150,10677.172,00000000
